Part_ID,Date,Employee,Work_Order,Model,Part_Number,Result,Test_1,Test_2,Test_3,Test_4,Test_5,Test_6,Test_7,Test_8,Test_9,Test_10,Test_11,Test_12
6401601234567891,19/08/2026 13:23:14,123,121,ES-05585-1 640160,640160,FAIL,980.04213,1.186534,1.149111,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37
6401601234567895,19/08/2026 14:57:43,123213,123,ES-05585-1 640160,640160,FAIL,1.303676,1.194224,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37
6401601234567896,19/08/2026 15:12:01,123213,123,ES-05585-1 640160,640160,FAIL,1.308033,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37
6401601234567890,19/08/2026 15:14:50,123213,123,ES-05585-1 640160,640160,FAIL,1.307649,1.213192,1.145138,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37
6401601234567890,19/08/2026 15:15:19,123213,123,ES-05585-1 640160,640160,FAIL,1.307777,1.212552,1.145779,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37
6401601234567890,19/08/2026 15:15:53,123213,123,ES-05585-1 640160,640160,FAIL,1.307008,1.212552,1.144241,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37
6401601234567890,19/08/2026 15:16:55,0202,PD0000357,ES-05585-1 640160,640160,FAIL,1.308033,1.212295,1.14501,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37
6401601234567890,19/08/2026 15:17:34,0202,PD0000357,ES-05585-1 640160,640160,FAIL,1.307392,1.212936,1.14501,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37
6401601234567890,19/08/2026 15:24:20,12,12,ES-05585-1 640160,640160,FAIL,1.308289,1.213833,1.14565,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37
6401601234567890,19/08/2026 15:45:31,545,445,ES-05585-1 640160,640160,FAIL,,,
6401601234567890,19/08/2026 15:47:24,23,12,ES-05585-1 640160,640160,PASS,1.309956,1.21409,1.146291
6401601234567891,19/08/2026 17:26:49,12,12,ES-05585-1 640160,640160,FAIL,1.334691,1.239722,1.17077,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37
6401601234567891,19/08/2026 17:29:15,123,123,ES-05585-1 640160,640160,PASS,1.332897,1.236646,1.169361,9.9e+37,9.9e+37,9.9e+37
6401601234567891,19/08/2026 17:29:47,123,123,ES-05585-1 640160,640160,PASS,1.332769,1.237672,1.169232,9.9e+37,9.9e+37,9.9e+37
6401601234567891,19/08/2026 17:30:25,123,123,ES-05585-1 640160,640160,FAIL,9.9e+37,1.238825,1.169489,9.9e+37,9.9e+37,9.9e+37
6401601234567891,19/08/2026 17:31:29,123,123,ES-05585-1 640160,640160,FAIL,9.9e+37,1.2378,1.168976,9.9e+37,9.9e+37,9.9e+37
6401601234567891,19/08/2026 17:32:19,123,123,ES-05585-1 640160,640160,PASS,1.332512,1.237672,1.169361,9.9e+37,9.9e+37,9.9e+37
6401601234567891,19/08/2026 17:38:31,7785,578,ES-05585-1 640160,640160,FAIL,1.33405,1.239722,1.171411,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37
6401601234567891,19/08/2026 17:39:57,0202,PD0000357,ES-05585-1 640160,640160,FAIL,1.334178,1.238953,1.172437,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37
6401601234567891,19/08/2026 17:41:28,0202,PD0000369,ES-05585-1 640160,640160,PASS,1.334563,1.239722,1.172565,9.9e+37,9.9e+37,9.9e+37
6401601234567891,19/08/2026 17:42:17,0202,PD0000369,ES-05585-1 640160,640160,FAIL,9.9e+37,1.23985,1.171283,9.9e+37,9.9e+37,9.9e+37
6401601234567891,19/08/2026 17:46:28,0202,PD0000369,ES-05585-1 640160,640160,PASS,1.339689,1.240235,1.172693,9.9e+37,9.9e+37,9.9e+37
6401601234567891,19/08/2026 17:46:50,0202,PD0000369,ES-05585-1 640160,640160,FAIL,9.9e+37,1.240235,1.172308,9.9e+37,9.9e+37,9.9e+37
6401601234567891,19/08/2026 17:47:12,0202,PD0000369,ES-05585-1 640160,640160,FAIL,9.9e+37,1.240619,1.171668,9.9e+37,9.9e+37,9.9e+37
6401601234567895,19/08/2026 17:50:15,122212,56564,ES-05585-1 640160,640160,FAIL,9.9e+37,1.241004,1.173077,9.9e+37,9.9e+37,9.9e+37
6401601234567895,20/08/2026 08:06:58,4645,456456,ES-05585-1 640160,640160,FAIL,,,,,,
6401601234567895,20/08/2026 08:07:16,4645,456456,ES-05585-1 640160,640160,FAIL,9.9e+37,1.215243,1.147829,9.9e+37,9.9e+37,9.9e+37
6401601234567895,20/08/2026 08:08:28,4645,456456,ES-05585-1 640160,640160,PASS,1.317902,1.217037,1.150136,9.9e+37,9.9e+37,9.9e+37
6401601234567891,20/08/2026 12:56:58,895,95*8982,ES-05585-1 640160,640160,FAIL,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37
6401601234587421,20/08/2026 12:57:54,46456,456546546,ES-05585-1 640160,640160,FAIL,9.9e+37,9.9e+37,9.9e+37,9.9e+37,51.5,0.758213
6401601234587421,20/08/2026 12:58:12,46456,456546546,ES-05585-1 640160,640160,FAIL,9.9e+37,9.9e+37,9.9e+37,0.759495,0.759879,0.759879
6401601234587421,20/08/2026 12:58:36,46456,456546546,ES-05585-1 640160,640160,FAIL,0.960967,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37
6401601234587421,20/08/2026 13:36:14,46456,456546546,ES-05585-1 640160,640160,FAIL,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37
6401601234587421,20/08/2026 13:39:45,46456,456546546,ES-05585-1 640160,640160,FAIL,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37
6401601234587421,20/08/2026 13:41:32,46456,456546546,ES-05585-1 640160,640160,FAIL,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37
6401601234587421,20/08/2026 13:42:44,46456,456546546,ES-05585-1 640160,640160,FAIL,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37
6401601234587421,20/08/2026 13:43:27,46456,456546546,ES-05585-1 640160,640160,FAIL,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37
6401601234587421,20/08/2026 13:44:21,46456,456546546,ES-05585-1 640160,640160,FAIL,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37
6401601234587421,20/08/2026 14:25:51,46456,456546546,ES-05585-1 640160,640160,FAIL,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37
6401601234587421,20/08/2026 14:47:54,46456,456546546,ES-05585-1 640160,640160,FAIL,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37
6401601234587421,20/08/2026 14:50:27,46456,456546546,ES-05585-1 640160,640160,FAIL,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37
6401601234587421,20/08/2026 14:51:12,46456,456546546,ES-05585-1 640160,640160,PASS,1.012873,0.912137,0.854207,9.9e+37,9.9e+37,9.9e+37
6401601234587421,20/08/2026 14:52:51,46456,456546546,ES-05585-1 640160,640160,PASS,1.012617,0.912137,0.854592,9.9e+37,9.9e+37,9.9e+37
6401601234587421,20/08/2026 14:54:04,46456,456546546,ES-05585-1 640160,640160,PASS,1.013002,0.912906,0.854464,9.9e+37,9.9e+37,9.9e+37
